1 422 Distance:1413.44 Solution:[26, 10, 16, 17, 19, 0, 3, 7, 12, 23, 24, 5, 6, 22, 9, 25, 21, 29, 13, 18, 28, 4, 27, 20, 8, 2, 1, 11, 15, 14] ox swap
2 376 Distance:1413.44 Solution:[5, 24, 23, 12, 7, 3, 0, 19, 17, 16, 10, 26, 14, 15, 11, 1, 2, 8, 20, 27, 4, 28, 18, 13, 29, 21, 25, 9, 22, 6] pmx inverse
3 254 Distance:1413.44 Solution:[5, 24, 23, 12, 7, 3, 0, 19, 17, 16, 10, 26, 14, 15, 11, 1, 2, 8, 20, 27, 4, 28, 18, 13, 29, 21, 25, 9, 22, 6] cx inverse
4 1780 Distance:1420.90 Solution:[25, 9, 22, 6, 5, 24, 23, 12, 7, 3, 0, 19, 17, 16, 10, 26, 14, 15, 1, 2, 11, 13, 18, 28, 8, 20, 27, 4, 29, 21] ox inverse
5 153 Distance:1444.77 Solution:[2, 1, 15, 14, 26, 10, 16, 17, 19, 0, 3, 7, 12, 23, 24, 5, 6, 22, 9, 25, 21, 29, 13, 4, 27, 20, 8, 28, 18, 11] cx random
6 88 Distance:1486.34 Solution:[13, 18, 11, 1, 2, 28, 4, 27, 20, 8, 10, 16, 26, 14, 15, 24, 0, 19, 17, 3, 7, 12, 23, 5, 6, 22, 9, 25, 21, 29] ox random
7 139 Distance:1506.94 Solution:[9, 6, 18, 13, 29, 4, 27, 20, 8, 28, 2, 1, 11, 15, 10, 16, 26, 14, 19, 0, 17, 3, 7, 12, 23, 24, 5, 22, 25, 21] pmx random
8 307 Distance:1516.09 Solution:[6, 22, 9, 25, 21, 29, 4, 27, 20, 8, 10, 16, 26, 14, 1, 2, 28, 18, 13, 11, 15, 19, 0, 17, 3, 7, 12, 23, 24, 5] ox 2-opt
9 225 Distance:1595.99 Solution:[17, 0, 19, 15, 6, 13, 18, 28, 4, 27, 20, 8, 2, 10, 16, 26, 14, 1, 11, 29, 21, 25, 9, 22, 5, 24, 23, 12, 7, 3] pmx 2-opt
10 774 Distance:1636.74 Solution:[9, 22, 5, 24, 23, 12, 7, 3, 0, 6, 28, 2, 1, 11, 15, 19, 17, 14, 26, 16, 10, 8, 20, 27, 4, 18, 13, 29, 21, 25] cx 2-opt
11 2115 Distance:1669.42 Solution:[24, 25, 21, 27, 20, 8, 10, 16, 26, 14, 15, 1, 2, 28, 4, 29, 13, 18, 11, 6, 9, 22, 5, 23, 12, 7, 3, 17, 19, 0] pmx swap
12 489 Distance:1758.16 Solution:[19, 15, 1, 11, 6, 5, 12, 23, 24, 2, 28, 8, 20, 27, 4, 18, 13, 29, 21, 25, 9, 22, 14, 26, 10, 16, 17, 7, 3, 0] cx swap
