1 620 Distance:1769.12 Solution:[33, 47, 4, 40, 44, 14, 28, 41, 38, 48, 35, 10, 18, 30, 6, 45, 23, 12, 42, 39, 46, 36, 2, 37, 9, 26, 16, 15, 43, 32, 21, 3, 8, 11, 20, 0, 22, 19, 25, 24, 29, 7, 49, 5, 1, 34, 27, 13, 17, 31] pmx inverse
2 920 Distance:1809.27 Solution:[2, 16, 26, 9, 39, 42, 12, 10, 18, 30, 23, 45, 6, 44, 14, 28, 40, 4, 47, 33, 25, 24, 29, 31, 17, 27, 34, 1, 5, 7, 49, 19, 22, 0, 20, 11, 8, 3, 21, 15, 43, 32, 13, 41, 38, 48, 35, 46, 37, 36] ox inverse
3 895 Distance:1812.86 Solution:[3, 8, 11, 20, 0, 22, 19, 25, 24, 29, 33, 47, 4, 40, 44, 14, 28, 31, 17, 27, 34, 7, 49, 5, 1, 32, 13, 48, 38, 41, 18, 30, 6, 45, 23, 12, 10, 35, 36, 2, 37, 46, 42, 39, 9, 26, 16, 43, 15, 21] cx inverse
4 364 Distance:1822.66 Solution:[7, 49, 5, 1, 21, 3, 8, 11, 20, 0, 22, 19, 25, 24, 29, 33, 47, 4, 40, 44, 14, 28, 31, 17, 13, 41, 38, 48, 36, 2, 37, 46, 35, 10, 18, 30, 6, 45, 23, 12, 42, 39, 9, 26, 16, 15, 43, 32, 34, 27] ox random
5 257 Distance:1836.91 Solution:[8, 11, 20, 0, 22, 19, 24, 49, 7, 5, 1, 34, 27, 32, 43, 13, 17, 31, 29, 25, 33, 47, 4, 40, 44, 14, 28, 41, 38, 48, 35, 36, 2, 37, 46, 10, 18, 30, 6, 45, 23, 12, 42, 39, 9, 26, 16, 15, 21, 3] pmx random
6 391 Distance:1837.74 Solution:[36, 37, 46, 35, 10, 48, 38, 41, 13, 31, 17, 27, 29, 49, 7, 1, 34, 32, 43, 15, 21, 3, 8, 11, 20, 0, 22, 5, 19, 24, 25, 33, 47, 4, 40, 44, 14, 28, 18, 30, 6, 45, 23, 12, 42, 39, 9, 26, 16, 2] cx random
7 2857 Distance:1887.28 Solution:[1, 34, 27, 7, 49, 5, 11, 20, 0, 22, 19, 25, 24, 29, 13, 48, 35, 46, 37, 36, 2, 43, 32, 17, 31, 33, 47, 4, 40, 44, 14, 28, 41, 38, 10, 18, 30, 6, 45, 23, 12, 42, 39, 9, 26, 16, 15, 21, 3, 8] ox 2-opt
8 2977 Distance:2008.41 Solution:[26, 16, 15, 11, 0, 20, 3, 8, 21, 32, 43, 2, 36, 37, 46, 12, 23, 45, 6, 30, 10, 18, 41, 17, 31, 28, 14, 44, 40, 4, 47, 33, 25, 29, 24, 19, 22, 5, 49, 7, 1, 34, 27, 13, 38, 48, 35, 42, 39, 9] cx swap
9 2111 Distance:2084.55 Solution:[32, 1, 5, 49, 24, 29, 17, 31, 18, 10, 12, 23, 45, 6, 30, 44, 14, 40, 33, 25, 47, 4, 28, 41, 38, 48, 13, 27, 34, 7, 19, 22, 0, 20, 11, 8, 3, 21, 35, 42, 39, 46, 36, 2, 37, 9, 26, 16, 15, 43] pmx swap
10 2284 Distance:2206.21 Solution:[34, 27, 32, 2, 37, 36, 35, 48, 38, 41, 18, 10, 39, 9, 26, 16, 15, 3, 8, 21, 43, 46, 42, 12, 23, 45, 6, 30, 44, 14, 25, 22, 0, 20, 11, 5, 13, 28, 40, 4, 47, 33, 31, 17, 29, 24, 19, 49, 7, 1] pmx 2-opt
11 2849 Distance:2256.04 Solution:[38, 48, 46, 9, 26, 16, 15, 21, 43, 2, 12, 23, 45, 6, 30, 44, 14, 40, 4, 47, 33, 25, 24, 29, 7, 49, 5, 3, 8, 1, 34, 27, 17, 31, 19, 22, 0, 20, 11, 32, 13, 28, 18, 10, 35, 36, 37, 39, 42, 41] ox swap
12 2972 Distance:2332.77 Solution:[31, 33, 4, 40, 14, 28, 29, 19, 22, 0, 20, 11, 8, 3, 15, 16, 26, 9, 39, 42, 12, 23, 45, 6, 13, 27, 34, 32, 36, 2, 43, 21, 1, 7, 5, 49, 24, 25, 47, 44, 30, 18, 10, 35, 46, 37, 48, 38, 41, 17] cx 2-opt
